// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Nova Labs
STATION;type;Scientific Analysis Facility
STATION;owner;Xulzacoo Aojelmast
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;nova_labs.png
STATION;filename;sector_29_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-6-9-1-6-0-1-3-0-4-0-6-3-2-4-0
STATION;interior_seed;5-1-15-5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;False
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.23;npc_ship_data_(recon_escort_1).txt
MERC;8;1.80;npc_ship_data_(support_frigate_1).txt
MERC;4;1.96;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1003;16;0.93
ITEM;1019;28;1.19
ITEM;1460;35;0.80
ITEM;1021;14;0.67
ITEM;1052;34;0.59
ITEM;1450;1;1.09
ITEM;1150;26;1.05
ITEM;1163;27;0.57
ITEM;1122;10;1.05
ITEM;1065;4;0.97
ITEM;1151;13;0.58
ITEM;1055;11;0.63
ITEM;1069;28;1.22
ITEM;1160;10;0.94
ITEM;1057;19;0.67
ITEM;1100;34;0.80
ITEM;1014;14;0.98
ITEM;1102;39;0.53
ITEM;1202;5;0.97
ITEM;1170;33;0.84
ITEM;1583;26;0.79
ITEM;1611;7;0.93
ITEM;1721;1;0.76
ITEM;1615;36;0.66
ITEM;1572;35;0.98
ITEM;1543;30;0.68
ITEM;1630;3;1.10
ITEM;1603;31;1.09
ITEM;1752;24;0.85
ITEM;1640;33;0.78
ITEM;1501;38;0.78
ITEM;1581;23;1.05
ITEM;1618;9;0.59
ITEM;1633;4;1.13
ITEM;1701;38;1.17
ITEM;1561;3;0.77
ITEM;1502;15;0.72
ITEM;1731;3;0.88
ITEM;1523;14;1.09
ITEM;1652;37;0.53
ITEM;43;31;0.68
ITEM;50;179;1.04
ITEM;2130;194;0.63
ITEM;52;108;0.71
ITEM;2126;83;0.92
ITEM;62;140;1.01
ITEM;2650;159;0.99
ITEM;51;49;0.78
ITEM;2651;148;0.57
ITEM;2131;128;1.09
ITEM;2123;1;0.88
ITEM;2117;116;0.88
ITEM;2122;23;0.91
ITEM;2119;170;0.59
ITEM;2121;136;1.14
ITEM;41;155;0.56
ITEM;63;15;0.92
ITEM;70;5;1.01
ITEM;2128;89;0.74
ITEM;2114;109;1.22
ITEM;78;133;0.89
ITEM;700;50;0.74
ITEM;711;34;1.11
ITEM;726;74;1.09
ITEM;712;60;1.24
ITEM;751;39;0.73
ITEM;721;5;0.96
ITEM;755;68;0.99
ITEM;725;73;1.15
ITEM;753;9;0.70
ITEM;740;13;0.90
ITEM;758;23;1.03
ITEM;732;69;0.52
ITEM;722;29;0.57
ITEM;701;9;0.64
ITEM;733;73;1.14
ITEM;681;51;0.65
ITEM;737;49;1.06
ITEM;741;68;1.04
ITEM;674;19;1.19
ITEM;730;14;0.79
ITEM;738;29;1.23
ITEM;690;28;1.07
ITEM;710;35;1.20
ITEM;693;23;1.24
ITEM;720;6;1.21
ITEM;670;67;0.98
ITEM;727;8;0.93
ITEM;621;15;0.58
ITEM;663;15;0.76
ITEM;643;13;1.11
ITEM;623;17;0.82
ITEM;661;2;0.53
ITEM;622;17;0.65
ITEM;620;6;1.03
ITEM;640;4;0.74
ITEM;642;8;0.93
ITEM;601;2;0.68
ITEM;600;1;0.87
ITEM;660;3;0.60
ITEM;641;15;0.64
ITEM;662;2;0.89
ITEM;602;17;0.98
ITEM;603;13;0.61
ITEM;406;25;1.00
ITEM;325;22;1.03
ITEM;324;19;1.18
ITEM;404;26;0.90
ITEM;321;10;0.78
ITEM;311;6;0.71
ITEM;407;34;0.68
ITEM;312;18;0.76
ITEM;310;24;1.08
ITEM;322;2;1.00
ITEM;313;25;0.82
ITEM;303;16;0.62
ITEM;403;1;0.94
ITEM;304;38;0.56
ITEM;408;15;0.56
ITEM;405;2;0.65
ITEM;320;35;0.68
ITEM;300;16;0.97
ITEM;302;21;0.73
ITEM;305;33;1.24
ITEM;301;16;1.05
ITEM;323;9;0.74
ITEM;21;193;0.93
ITEM;22;54;1.07
ITEM;2;355;1.18
ITEM;4;296;1.11
ITEM;3;142;0.57
ITEM;20;194;1.07
ITEM;23;6;1.01
ITEM;1;107;0.85
ITEM;105;518;0.66
ITEM;109;90;0.96
ITEM;106;490;0.71
ITEM;107;449;0.80
ITEM;114;139;0.87
ITEM;118;30;0.72
ITEM;103;139;1.13
ITEM;113;550;0.67
ITEM;101;225;0.78
ITEM;100;345;0.78
ITEM;102;298;1.11
ITEM;104;76;0.92
ITEM;152;157;1.21
ITEM;209;246;0.76
ITEM;157;160;1.13
ITEM;158;215;0.70
ITEM;218;183;0.58
ITEM;164;126;0.64
ITEM;160;293;0.62
ITEM;163;193;1.06
ITEM;206;253;0.92
ITEM;168;37;0.85
ITEM;215;270;1.02
ITEM;211;357;0.63
ITEM;202;74;0.89
ITEM;162;253;0.98
ITEM;203;391;0.88
ITEM;156;108;0.88
ITEM;213;265;1.11
ITEM;216;111;0.95
ITEM;204;152;1.02
ITEM;151;102;0.86
ITEM;205;248;0.93
ITEM;214;159;0.95
ITEM;153;224;1.17
ITEM;201;392;1.19
ITEM;159;88;0.63
ITEM;167;264;1.11
ITEM;200;349;0.62
ITEM;207;72;0.65
ITEM;169;69;1.13
ITEM;165;355;1.08
ITEM;2335;17;1.14
ITEM;2386;13;1.03
ITEM;2451;25;0.56
ITEM;2444;33;0.93
ITEM;2388;36;0.93
ITEM;2192;5;0.70
ITEM;2316;37;0.81
ITEM;2363;17;0.65
ITEM;2221;34;0.55
ITEM;2162;23;1.08
ITEM;2269;18;0.96
ITEM;2101;23;1.14
ITEM;2362;11;0.85
ITEM;2461;8;0.84
ITEM;2361;10;0.88
ITEM;2438;17;1.23
ITEM;2326;31;1.04
ITEM;2449;3;1.00
ITEM;2426;18;0.97
ITEM;2462;19;0.83
ITEM;2329;19;0.56
ITEM;2142;16;1.01
ITEM;2364;1;1.15
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;37;0.52
SKILL;14;1.81
SKILL;60;1.26
SKILL;17;1.77
SKILL;230;1.15
SKILL;227;1.61
SKILL;73;1.02
SKILL;43;0.56
SKILL;21;1.04
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(transport_utility_1).txt
SHIP;2;0.92;ship_data_(battle_carrier_1).txt
SHIP;3;1.00;ship_data_(transport_shuttle_1).txt
SHIP;4;1.09;ship_data_(support_utility_1).txt
SHIP;5;1.06;ship_data_(battle_utility_1).txt
SHIP;6;1.02;ship_data_(excavation_shuttle_1).txt
SHIP;7;0.93;ship_data_(recon_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
