// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Headquarters
STATION;owner;Akweliile Kinastop
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;asp.png
STATION;filename;sector_35_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-0-3-3-3-6-1-3-9-3-4-0-6-4-2-2-0
STATION;interior_seed;3-0-0-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;83896.3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.80;npc_ship_data_(battle_escort_1).txt
MERC;7;1.54;npc_ship_data_(transport_carrier_1).txt
MERC;2;1.54;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Supply: (1) Items ;202x260;13642;156200.70
BUYORDER;Market Demands: (3) Items ;210x658,211x526,211x590;138113;172629.80
BUYORDER;Market Shortage: (2) Items ;215x159,215x853;265693;117275.80
SELLORDER;Market Production: (3) Items ;206x316,201x277,208x461;52113.00;129862.00
ITEM;1;921;0.99;14.18932
ITEM;52;0;0.72;14.18932
ITEM;1522;31;0.97;14.18932
ITEM;1532;12;0.65;14.18932
ITEM;1752;10;0.99;31288.46
ITEM;622;4;0.89;13793.56
ITEM;1632;5;1.02;13793.56
ITEM;1542;12;0.93;13793.56
ITEM;61;157;1.27;13793.56
ITEM;641;3;0.66;13793.56
ITEM;2326;18;0.89;13793.56
ITEM;1562;18;0.98;13793.56
ITEM;737;6;1.04;13793.56
ITEM;310;4;0.90;13793.56
ITEM;302;33;0.67;13793.56
ITEM;2652;0;0.62;13793.56
ITEM;1057;32;0.86;13793.56
ITEM;1062;12;0.55;13793.56
ITEM;1067;8;0.77;12258.84
ITEM;167;364;1.09;12258.84
ITEM;2396;13;0.82;12258.84
ITEM;1520;26;0.77;829.5729
ITEM;2355;25;0.85;32996.2
ITEM;1530;12;0.66;32996.2
ITEM;2279;16;0.66;32996.2
ITEM;70;79;0.62;32996.2
ITEM;1640;21;0.84;32996.2
ITEM;1570;11;0.75;1675.119
ITEM;2344;22;0.77;50851.09
ITEM;620;7;1.01;50851.09
ITEM;312;3;1.07;72.3759
ITEM;1540;12;0.25;72.3759
ITEM;60;178;0.83;36.36644
ITEM;1701;18;0.59;36.36644
ITEM;1700;4;0.97;7184.23
ITEM;201;150;1.15;79.39174
ITEM;1560;28;1.11;79.39174
ITEM;1500;27;0.92;79.39174
ITEM;1590;7;0.78;79.39174
ITEM;400;328;1.05;79.39174
ITEM;2529;11;0.83;79.39174
ITEM;208;43;0.57;65.97174
ITEM;1112;12;1.02;2463.018
ITEM;311;0;1.13;2463.018
ITEM;109;245;1.06;4.844542
ITEM;406;0;1.11;4.844542
ITEM;403;520;0.94;19.24644
ITEM;205;150;1.17;19.24644
ITEM;101;8;1.07;0.7215223
ITEM;623;11;1.06;0.7215223
ITEM;603;2;0.81;0.7215223
ITEM;325;2;0.81;16.0837
ITEM;404;13;0.88;16.0837
ITEM;200;42;0.85;16.0837
ITEM;300;0;0.91;16.0837
ITEM;301;18;1.10;138.0195
ITEM;661;12;1.06;138.0195
ITEM;218;0;2.50;138.0195
ITEM;660;4;1.13;5129.082
ITEM;643;9;1.03;5129.082
ITEM;738;19;1.21;1326321
ITEM;322;27;1.00;190.6896
ITEM;1020;10;0.99;8841.289
ITEM;2103;11;0.95;101423.6
ITEM;1021;6;1.10;8769.743
ITEM;1019;32;0.57;8769.743
ITEM;2111;131;0.80;8769.743
ITEM;151;66;0.79;8769.743
ITEM;204;150;0.25;8769.743
ITEM;2112;14;1.13;51.29882
ITEM;2115;137;0.65;51.29882
ITEM;62;74;0.81;97.94432
ITEM;324;6;1.08;97.94432
ITEM;1001;23;0.66;97.94432
ITEM;313;31;0.70;97.94432
ITEM;2;184;1.08;97.94432
ITEM;405;28;0.74;19.54713
ITEM;602;2;1.08;19.54713
ITEM;681;63;0.62;19.54713
ITEM;673;67;1.18;19.54713
ITEM;675;57;0.94;241416.9
ITEM;679;4;0.95;241416.9
ITEM;102;0;0.58;241416.9
ITEM;2650;1253;1.14;559.446
ITEM;2330;27;0.99;559.446
ITEM;1531;12;0.67;559.446
ITEM;2540;20;0.91;559.446
ITEM;2546;20;1.19;559.446
ITEM;1751;25;0.92;559.446
ITEM;1571;6;1.10;559.446
ITEM;1651;20;1.14;559.446
ITEM;2345;29;0.79;559.446
ITEM;621;9;1.23;559.446
ITEM;2335;38;1.06;154154.9
ITEM;1541;12;0.65;154154.9
ITEM;2285;29;1.06;29955.83
ITEM;2552;19;0.89;29955.83
ITEM;1611;16;1.26;29955.83
ITEM;1591;27;0.85;29955.83
ITEM;305;0;0.79;29955.83
ITEM;1171;31;0.74;29955.83
ITEM;2212;33;0.98;29955.83
ITEM;105;0;1.22;29955.83
ITEM;20;41;0.60;29955.83
ITEM;51;0;0.71;29955.83
ITEM;2119;0;1.00;29955.83
ITEM;1008;32;0.93;29955.83
ITEM;304;0;0.62;29955.83
ITEM;747;11;0.84;73367.72
ITEM;211;24;1.05;73367.72
ITEM;752;28;0.83;73367.72
ITEM;758;2;1.05;94399.76
ITEM;712;6;0.79;94399.76
ITEM;209;107;2.43;208.0831
ITEM;692;42;1.12;16253.47
ITEM;700;17;1.08;4852.314
ITEM;690;23;1.05;14188.58
ITEM;158;40;0.98;14188.58
ITEM;4;52;1.17;14188.58
ITEM;104;487;0.78;14188.58
ITEM;166;311;1.06;14188.58
ITEM;203;150;0.25;14188.58
ITEM;320;22;1.11;14188.58
ITEM;740;47;0.96;12783.96
ITEM;750;42;1.13;12783.96
ITEM;756;25;0.91;12783.96
ITEM;678;38;0.86;18962.21
ITEM;214;4;1.03;141.7702
ITEM;157;76;1.15;44.90331
ITEM;23;2550;0.93;579.6961
ITEM;161;33;0.68;579.6961
ITEM;728;7;0.69;8783.576
ITEM;210;0;2.50;8783.576
ITEM;212;88;2.49;262.8583
ITEM;321;25;0.71;262.8583
ITEM;106;17;0.77;6.727424
ITEM;601;13;1.18;6.727424
ITEM;150;99;0.52;6.727424
ITEM;303;0;0.78;6.727424
ITEM;107;130;1.12;6.727424
ITEM;206;61;0.71;6.727424
ITEM;1205;27;1.04;16305.28
ITEM;407;10;0.99;16305.28
ITEM;103;530;0.62;16305.28
ITEM;118;125;1.12;16305.28
ITEM;170;60;0.63;16305.28
ITEM;1523;19;1.09;37547.69
ITEM;1533;12;0.63;43108.43
ITEM;1753;14;0.70;43108.43
ITEM;2364;33;0.67;43108.43
ITEM;1583;21;1.02;132775.3
ITEM;1543;12;0.53;132775.3
ITEM;1553;26;0.89;132775.3
ITEM;1563;13;1.10;51917.37
ITEM;1503;11;0.98;51917.37
ITEM;213;29;0.96;104.0856
ITEM;600;5;0.97;104.0856
ITEM;1534;49;0.74;104.0856
ITEM;1544;12;0.65;104.0856
ITEM;1150;14;0.92;104.0856
ITEM;1151;13;1.13;104.0856
ITEM;2191;34;1.07;104.0856
ITEM;1152;7;1.02;8832.661
ITEM;1100;33;1.19;8832.661
ITEM;1101;0;0.85;8832.661
ITEM;1103;32;1.26;8832.661
ITEM;1014;0;1.21;8832.661
ITEM;1015;10;0.95;3701.808
ITEM;3;281;0.79;3701.808
ITEM;53;120;1.04;3701.808
ITEM;1065;22;1.09;3701.808
ITEM;726;62;0.89;3701.808
ITEM;207;47;0.68;3701.808
ITEM;2440;2;0.96;479.0107
ITEM;114;559;0.61;479.0107
ITEM;1400;39;0.75;479.0107
ITEM;2241;33;0.75;479.0107
ITEM;1402;18;0.73;479.0107
ITEM;21;352;0.67;479.0107
ITEM;113;128;0.80;4.234822
ITEM;216;11;1.09;4.234822
ITEM;693;19;0.72;4.234822
ITEM;720;7;1.14;6211.913
ITEM;217;0;2.50;6211.913
ITEM;215;0;2.50;6211.913
ITEM;323;28;0.66;20.98025
ITEM;1450;10;0.70;20.98025
ITEM;152;50;0.99;10.85198
ITEM;156;171;0.96;28.15024
ITEM;2432;21;0.76;258.1276
ITEM;2151;27;0.60;30007.97
ITEM;642;7;1.06;30007.97
ITEM;640;13;0.50;30007.97
ITEM;202;150;0.32;18.08582
ITEM;749;36;0.91;18.08582
ITEM;734;25;1.12;18.08582
ITEM;760;36;1.20;18.08582
ITEM;77;143;0.97;18.08582
ITEM;2121;23;1.06;506.7416
ITEM;2123;0;0.62;506.7416
ITEM;2125;0;0.74;506.7416
ITEM;2127;121;0.82;59.04626
ITEM;2130;0;0.91;59.04626
ITEM;1300;21;0.65;59.04626
ITEM;22;137;0.78;59.04626
ITEM;2113;24;0.53;59.04626
ITEM;2113;-99;0.56;59.04626
ITEM;2116;0;0.88;59.04626
ITEM;663;13;0.70;29610.88
ITEM;662;11;0.93;14368.69
ITEM;100;52;1.05;14368.69
ITEM;408;577;0.92;4235.158
ITEM;1470;21;0.69;4235.158
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;45;0.89
SKILL;51;1.24
SKILL;53;0.54
SKILL;61;0.55
SKILL;222;0.89
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;126;120;146937;CHAT_PILOT#sector_0_station_2.txt#sector_58.txt#Leader Leiile Wajel#npc_ship_data_(battle_frigate_3)#4#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Leader Leiile Wajel</i></color> in <color='cyan'>Lins</color> and return with signature to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;15;<i>Telzo Jalislockisiv</i> has a bonus payment for <color='yellow'><i>Leader Leiile Wajel</i></color>. The Law faction has recognized <color='yellow'><i>Leader Leiile Wajel</i></color> and has award a bonus payment. <color='yellow'><i>Leader Leiile Wajel</i></color> was last working in the <color='cyan'>Lins</color> system. Find them, deliver this envelope, and return to the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system with a signature.;23448;6200
MISSION;150;120;114564;FABRICATE#3#2465#sector_36_station_0.txt#sector_80_station_0.txt#null#null#null#null;Dock at the Blargg's station fabricator in <color='cyan'>Beacon Spita</color> and manufacture a light shipment of <color='yellow'>3</color> <color='yellow'>Copperi Cables</color>;17;<i>Sabem Portcavaj</i> runs a Judicial production company at Genistar. After having some issues with a manufacturing plant, <color='yellow'>3</color> items of <color='yellow'>Copperi Cables</color> were marked as low supply. Head on over to <color='cyan'>Beacon Spita</color> and fabricate these <color='yellow'>Copperi Cables</color> at Blargg's.;19325;6600
MISSION;130;140;333523;SALVAGE#3#20#sector_96.txt#sector_78_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>3</color> to Tella's in <color='cyan'>Bitcola</color>;15;A local prospector, <i>Sihlom Eropea</i> of the Law faction has located a light quantity of special <color='yellow'>Special Junk Part</color> in the <color='cyan'>Arch of Mori</color> sector. Head over there and salvage all of the special <color='yellow'>Special Junk Part</color>, and meet <i>Sihlom Eropea</i> back at Tella's station located in the <color='cyan'>Bitcola</color>.;9300;3000
MISSION;52;120;679747;SCAN_STRUCTURE#sector_56_station_0.txt#sector_15.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Defensive Gun Platform</color> structure in <color='cyan'>Jermicus</color> and return to Transporteers in <color='cyan'>Hunu</color>;15;The Law faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Defensive Gun Platform</color> in the <color='cyan'>Jermicus</color> sector. Head over to <color='cyan'>Jermicus</color> and scan the <color='yellow'>Defensive Gun Platform</color> structure. Once complete, return to the Transporteers station located in the <color='cyan'>Hunu</color> with the scan data.;13615;3600
MISSION;60;140;317074;HARVEST#97#1#sector_0.txt#sector_3_station_0.txt#null#null#null#null;Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>97</color> ore to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;17;A local prospector, <i>Duepei Resdadie</i> of the Judicial faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Void Starcross</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Duepei Resdadie</i> back at Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>.;8320;1600
MISSION;63;170;940087;HARVEST#198#1#sector_3.txt#sector_0_station_0.txt#null#null#null#null;Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return to Biomate University in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>198</color>;17;The Judicial faction has reported that a special medium load of <color='yellow'>Special Adamyte Ore</color> has been scanned in the <color='cyan'>Starfort Ramos</color> system. <i>Rastsaw Xales</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Adamyte Ore</color> and return to Biomate University, in the <color='cyan'>Void Starcross</color>.;14256;3075
