// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Blargg's
STATION;type;Patrol Annex Station
STATION;owner;Eligentis Faruk
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;3
STATION;icon;ad_image_17.png
STATION;filename;sector_36_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-0-0-1-2-7-3-6-0-6-8-0-4-1-6-4-0-7-0
STATION;interior_seed;5-6-15-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.85;npc_ship_data_(transport_utility_1).txt
MERC;4;0.93;npc_ship_data_(battle_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchasing (3) Items ;115x62,1615x11,1616x7;37550;98208.86
BUYORDER;Purchase Order for: (2) Items ;2469x26,720x16;91138;92934.86
BUYORDER;Market Out of Stock: (2) Items ;1x126,4x323;75409;78495.51
BUYORDER;Market Shortage: (1) Items ;4x262;52870;39923.59
BUYORDER;Market Shortage: (1) Items ;6x48;26079;79386.82

ITEM;1013;7;1.05;0
ITEM;1121;10;0.97;2330.205
ITEM;1112;19;0.63;1424.443
ITEM;1059;8;0.97;4384.831
ITEM;1401;22;0.92;4384.831
ITEM;1064;7;1.13;10469.28
ITEM;1015;25;0.94;3650.893
ITEM;1451;12;0.78;3650.893
ITEM;1014;9;1.06;3650.893
ITEM;1402;18;0.77;3650.893
ITEM;1101;1;1.00;3650.893
ITEM;1111;20;1.22;2118.915
ITEM;1150;10;1.04;2118.915
ITEM;1200;9;1.08;2118.915
ITEM;1460;7;0.96;2118.915
ITEM;1062;17;1.20;10100.17
ITEM;1172;2;0.53;10100.17
ITEM;1057;24;0.91;3722.142
ITEM;1161;7;0.80;3722.142
ITEM;1470;9;0.89;3722.142
ITEM;1601;11;1.04;2431.663
ITEM;1750;8;0.93;2431.663
ITEM;1572;12;1.17;21470.79
ITEM;1542;13;0.88;21470.79
ITEM;1561;3;0.86;2431.792
ITEM;1710;29;0.91;2971.037
ITEM;1615;5;1.07;2348.466
ITEM;1590;15;1.18;2348.466
ITEM;1570;4;0.67;1479.643
ITEM;1521;28;0.60;1479.643
ITEM;1500;5;1.14;1223.65
ITEM;1651;11;1.11;1223.65
ITEM;1520;6;0.78;841.6177
ITEM;1720;8;1.00;3334.891
ITEM;1541;11;1.01;2359.121
ITEM;1641;26;0.60;2359.121
