// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Legistron
STATION;type;Reclamation Center
STATION;owner;Akno Vakjanco
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;9
STATION;icon;legistron.png
STATION;filename;sector_40_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-9-1-1-3-1-0-1-2-6-2-7-1-3-0-2-7-0
STATION;interior_seed;3-6-45-2
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.69;npc_ship_data_(battle_utility_1).txt
MERC;2;1.15;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;For Sale: (1) Items ;1161x15;109159;68948.34
BUYORDER;Market Items Req: (1) Items ;8x158;133687;67269.48
BUYORDER;Market Demands: (1) Items ;6x238;124482;75506.48
BUYORDER;Market Items Req: (1) Items ;6x107;42911;68883.69

SELLORDER;Selling Items: (1) Items ;155x2329;62195;37422.16
ITEM;1050;26;0.97;1818.535
ITEM;1461;30;1.01;588423.9
ITEM;1113;87;1.25;588423.9
ITEM;1408;61;0.88;588423.9
ITEM;1164;46;0.74;25478.93
ITEM;1403;41;0.52;22802.62
ITEM;1010;26;0.89;22802.62
ITEM;1111;35;0.63;997.0182
ITEM;1056;48;0.67;997.0182
ITEM;1027;79;0.80;997.0182
ITEM;1170;13;0.79;997.0182
ITEM;1117;48;1.01;90399.51
ITEM;1017;47;1.13;90399.51
ITEM;1127;29;1.18;179098.7
ITEM;1150;67;0.86;179098.7
ITEM;1450;69;0.95;4243.1
ITEM;1058;75;1.20;160367.2
ITEM;1125;32;0.54;160367.2
ITEM;1161;44;0.63;160367.2
ITEM;1152;45;0.67;160367.2
ITEM;1074;6;0.51;160367.2
ITEM;1011;29;0.99;160367.2
ITEM;1004;53;0.77;160367.2
ITEM;1070;35;0.93;160367.2
ITEM;1075;30;0.96;160367.2
ITEM;1067;71;1.06;160367.2
ITEM;1103;22;1.14;3408.684
ITEM;1503;7;0.75;26895.31
ITEM;1631;65;1.12;26895.31
ITEM;1613;82;0.73;32047.32
ITEM;1521;62;0.75;1702.451
ITEM;1580;14;0.94;1702.451
ITEM;1594;33;0.64;1702.451
ITEM;1630;81;0.65;3455.325
ITEM;1574;43;0.55;3455.325
ITEM;1641;35;1.11;13600.77
ITEM;1632;33;0.62;13600.77
ITEM;1731;12;0.89;13600.77
ITEM;1712;39;1.21;13600.77
ITEM;1533;32;0.84;60511.17
ITEM;1554;43;0.79;60511.17
ITEM;1514;67;0.89;617314.1
ITEM;1770;88;0.96;8339.766
ITEM;1640;36;1.03;5900.122
ITEM;1542;70;0.99;5900.122
ITEM;1771;72;1.16;10306.35
ITEM;1777;58;0.58;10306.35
ITEM;1561;25;0.74;10306.35
ITEM;1602;60;1.00;11300.6
ITEM;1550;10;1.22;3768.782
ITEM;1750;53;0.53;902.7795
ITEM;1532;76;0.97;902.7795
ITEM;1572;35;0.87;15401.61
ITEM;1562;88;1.15;13283.47
ITEM;1754;62;0.56;377365.7
ITEM;62;202;0.57;377365.7
ITEM;53;430;1.12;377365.7
ITEM;2113;253;0.70;36.08665
ITEM;2119;5;0.79;36.08665
ITEM;2652;261;0.60;36.08665
ITEM;70;347;1.08;7.241235
ITEM;2115;234;0.98;7.241235
ITEM;60;127;1.01;7.241235
ITEM;2130;81;0.97;7.241235
ITEM;2121;205;0.62;274.064
ITEM;2126;32;0.60;35.63837
ITEM;51;159;0.80;24.66231
ITEM;2128;5;0.69;24.66231
ITEM;41;432;0.62;10.63481
ITEM;2112;40;0.83;10.63481
ITEM;40;121;0.59;10.63481
ITEM;2651;95;0.80;10.63481
ITEM;63;343;1.12;202.9874
ITEM;61;349;1.03;202.9874
ITEM;76;213;1.12;176.6298
ITEM;50;20;1.18;176.6298
ITEM;2117;149;0.76;176.6298
ITEM;78;37;0.93;250.6567
ITEM;2124;446;1.00;250.6567
ITEM;2120;187;1.04;250.6567
ITEM;75;310;1.22;250.6567
ITEM;733;4;0.94;83802.19
ITEM;744;171;0.91;83802.19
ITEM;738;147;1.24;83802.19
ITEM;730;105;1.16;83802.19
ITEM;751;32;0.62;83802.19
ITEM;726;142;0.80;10472.83
ITEM;725;67;1.01;13627.44
ITEM;681;27;0.55;63901.3
ITEM;749;110;0.87;63901.3
ITEM;701;10;0.84;63901.3
ITEM;700;67;1.24;63901.3
ITEM;723;148;1.08;63901.3
ITEM;679;68;1.01;130835
ITEM;745;92;0.95;12636.86
ITEM;672;26;1.09;12636.86
ITEM;675;22;0.58;138433
ITEM;677;170;1.05;203955.6
ITEM;674;127;1.18;139225.6
ITEM;711;142;0.79;17135.42
ITEM;754;47;1.07;239945
ITEM;734;73;1.07;239945
ITEM;727;175;0.83;239945
ITEM;742;78;0.72;61361.95
ITEM;712;22;0.64;80332.06
ITEM;748;74;0.75;80332.06
ITEM;747;129;0.65;80332.06
ITEM;752;100;0.81;80332.06
ITEM;692;171;0.69;80332.06
ITEM;678;42;0.83;80332.06
ITEM;680;31;0.77;16616.65
ITEM;755;165;0.80;4169.112
ITEM;746;176;0.68;25961.12
ITEM;743;97;0.61;25961.12
ITEM;690;174;0.59;25961.12
ITEM;720;2;0.73;25961.12
ITEM;710;56;0.88;3860.937
ITEM;731;96;0.73;3860.937
ITEM;758;37;1.14;102912.2
ITEM;750;111;0.71;102912.2
ITEM;722;78;1.04;102912.2
ITEM;670;113;0.92;97432.02
ITEM;623;23;0.52;97432.02
ITEM;604;37;0.66;71593.2
ITEM;620;43;1.03;71593.2
ITEM;643;20;1.11;71593.2
ITEM;641;16;0.54;71593.2
ITEM;622;31;0.74;71593.2
ITEM;665;11;0.83;174125.8
ITEM;661;2;1.21;11006.43
ITEM;628;2;0.69;11006.43
ITEM;608;35;0.95;662733
ITEM;642;12;1.16;18474.27
ITEM;606;30;1.15;18474.27
ITEM;627;14;0.92;18474.27
ITEM;648;14;1.16;18474.27
ITEM;601;19;1.07;18474.27
ITEM;647;30;0.58;18474.27
ITEM;621;35;1.13;18474.27
ITEM;624;7;1.20;18474.27
ITEM;605;25;0.88;18474.27
ITEM;625;7;0.68;18474.27
ITEM;667;31;1.01;18474.27
ITEM;626;39;0.97;18474.27
ITEM;640;5;0.63;18474.27
ITEM;660;18;1.05;18474.27
ITEM;600;40;0.69;18474.27
ITEM;607;13;1.03;18474.27
ITEM;668;4;1.09;775590.7
ITEM;664;27;0.79;775590.7
ITEM;666;34;1.04;775590.7
ITEM;602;13;0.93;14470.09
ITEM;645;12;0.63;14470.09
ITEM;663;39;0.71;14470.09
ITEM;603;35;0.84;14470.09
ITEM;662;9;0.80;12144.79
ITEM;646;36;0.83;12144.79
ITEM;644;3;0.98;114062.4
ITEM;300;71;1.20;114062.4
ITEM;351;69;0.90;114062.4
ITEM;333;85;1.01;295.3812
ITEM;303;6;1.14;295.3812
ITEM;343;24;1.23;154.3004
ITEM;350;28;0.70;22.78842
ITEM;325;81;0.66;22.78842
ITEM;304;20;1.03;22.78842
ITEM;405;32;1.24;35.21862
ITEM;404;53;0.54;35.21862
ITEM;301;80;1.18;149.654
ITEM;342;32;0.68;13.10783
ITEM;406;35;0.73;19.48594
ITEM;407;68;0.88;334.6543
ITEM;330;83;1.15;85.21625
ITEM;403;36;0.96;85.21625
ITEM;331;30;1.08;140.4556
ITEM;352;15;0.57;140.4556
ITEM;320;40;1.29;23.94127
ITEM;341;43;1.06;73.51772
ITEM;323;87;1.19;73.51772
ITEM;305;21;0.52;73.51772
ITEM;332;23;0.74;73.51772
ITEM;313;24;1.14;201.6036
ITEM;340;6;0.64;201.6036
ITEM;310;44;1.25;65.11434
ITEM;408;1;1.16;65.11434
ITEM;321;34;0.94;65.11434
ITEM;302;17;1.20;65.11434
ITEM;312;67;0.62;65.11434
ITEM;324;64;1.07;65.11434
ITEM;322;43;0.51;65.11434
ITEM;311;65;0.86;65.11434
ITEM;353;76;0.55;22.41946
ITEM;8;25;1.24;22.41946
ITEM;1;110;0.94;22.41946
ITEM;5;792;0.63;100.4578
ITEM;27;473;1.28;10501.58
ITEM;20;391;0.73;10501.58
