// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Gunstellar
STATION;type;Weapons Plant
STATION;owner;Xonfahin Wheal
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;5
STATION;icon;gunstellar.png
STATION;filename;sector_47_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-1-3-0-0-8-0-3-2-1-3-1-5-3-0-8-0-4-3-3-7-0
STATION;interior_seed;3-4-0-9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.44;npc_ship_data_(recon_escort_1).txt
MERC;6;1.61;npc_ship_data_(support_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Buying: (2) Items ;2416x97,151x93;118020;118534.00
BUYORDER;Purchasing (1) Items ;200x29;936;87299.86
BUYORDER;Need (2) Items ;310x1350,351x942;135227;66503.55


ITEM;1150;33;0.70;0
ITEM;1072;7;0.78;0
ITEM;1124;21;1.11;0
ITEM;1027;18;0.84;0
ITEM;1057;38;0.85;0
ITEM;1173;47;0.57;10849.1
ITEM;1174;31;0.69;26974.14
ITEM;1475;49;1.25;26974.14
ITEM;1403;9;0.73;26974.14
ITEM;1067;24;0.61;26974.14
ITEM;1052;42;0.85;1700.89
ITEM;1055;28;0.64;2253.238
ITEM;1021;56;1.13;2253.238
ITEM;1014;46;0.72;2253.238
ITEM;1111;4;1.28;2253.238
ITEM;1019;49;0.96;8888.374
ITEM;1074;48;0.90;8888.374
ITEM;1103;39;0.68;1894.81
ITEM;1163;32;1.03;20211.69
ITEM;1162;10;0.94;9096.25
ITEM;1594;36;0.95;205586.4
ITEM;1630;44;1.12;205586.4
ITEM;1534;45;1.07;205586.4
ITEM;1592;14;1.18;12790.53
ITEM;1590;47;1.13;1717.056
ITEM;1523;41;1.01;34479.73
ITEM;1501;41;0.72;34479.73
ITEM;1623;48;0.55;34479.73
ITEM;1642;40;1.01;34479.73
ITEM;1503;6;0.61;20967.78
ITEM;1619;26;1.26;20967.78
ITEM;1624;47;0.66;20967.78
ITEM;1700;62;0.94;6943.786
ITEM;1754;26;1.17;875479.9
ITEM;1573;39;0.80;57038.18
ITEM;1732;6;0.75;57038.18
ITEM;1641;34;1.28;57038.18
ITEM;2651;168;0.72;400.1405
ITEM;78;2223;0.83;400.1405
ITEM;2118;83;0.97;400.1405
ITEM;2124;4549;0.69;400.1405
ITEM;2125;131;0.65;705.3804
ITEM;62;121;1.22;705.3804
ITEM;53;2227;0.68;705.3804
ITEM;2112;221;0.68;705.3804
ITEM;2120;134;0.73;705.3804
ITEM;2123;2494;0.59;705.3804
