// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;ValueStar
STATION;type;Trade Floor Facility
STATION;owner;Binofesiv Sedkeesed
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_56_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-7-1-3-9-3-8-0-7-7-3-6-0-6-7-1-5-1-6-5-1-0-0
STATION;interior_seed;5-0-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;85674.46
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.60;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.84;npc_ship_data_(pirate_escort_1).txt
MERC;3;1.34;npc_ship_data_(pirate_shuttle_1).txt
MERC;6;0.72;npc_ship_data_(pirate_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchase Request (3) Items ;333x110,1121x14,2465x52;171168;174747.80
SELLORDER;Market Production: (1) Items ;2080x179;129755.00;105492.10
BUYORDER;Market Demands: (1) Items ;20x609;61953.00;103558.40
ITEM;2023;232;1.18;597.47
ITEM;2000;745;0.70;9.82
ITEM;1;599;0.95;12.93
ITEM;42;344;0.72;15.43
ITEM;52;396;0.96;38.27
ITEM;2276;34;0.67;58309.56
ITEM;1771;7;1.12;9594.69
ITEM;1766;39;0.80;6454.72
ITEM;1761;52;0.77;6160.35
ITEM;1642;39;0.72;27130.84
ITEM;2341;18;0.53;218514.10
ITEM;1652;26;1.17;48260.32
ITEM;622;2;1.01;15186.72
ITEM;61;125;1.07;83.50
ITEM;641;36;1.22;10778.13
ITEM;1602;29;1.04;11406.35
ITEM;1552;45;1.18;25020.21
ITEM;1562;13;0.74;7625.64
ITEM;2024;92;1.05;701.19
ITEM;1612;72;0.57;5356.68
ITEM;667;33;1.03;461662.50
ITEM;310;65;0.80;37.30
ITEM;111;66;1.11;24.68
ITEM;2026;249;0.85;761.75
ITEM;2027;218;1.15;1426.16
ITEM;302;50;1.00;48.64
ITEM;2131;161;0.96;147.70
ITEM;2028;686;1.04;1591.82
ITEM;1057;40;0.82;3117.94
ITEM;1067;71;0.55;7503.75
ITEM;2143;42;0.80;145245.00
ITEM;1053;75;0.52;27807.00
ITEM;2145;4;0.70;492660.00
ITEM;1063;37;0.54;117116.00
ITEM;351;76;0.71;42.98
ITEM;167;120;0.69;47.44
ITEM;169;109;0.87;69.43
ITEM;40;263;0.54;5.85
ITEM;1520;59;0.95;1011.87
ITEM;1720;41;1.02;3261.34
ITEM;2385;34;0.89;66.56
ITEM;2369;58;1.14;117491.40
ITEM;1760;30;0.64;4884.74
ITEM;2366;23;0.96;96296.60
ITEM;1640;43;0.87;4641.55
ITEM;1570;69;1.12;2542.41
ITEM;2299;36;1.01;27076.62
ITEM;620;6;0.75;3039.06
ITEM;312;45;1.11;72.39
ITEM;1630;3;0.82;4322.68
ITEM;1712;12;0.78;2369.67
ITEM;60;365;1.11;48.39
ITEM;1701;7;1.03;3432.28
ITEM;1600;5;1.08;1110.46
ITEM;201;56;1.06;70.03
ITEM;1560;77;1.14;1271.21
ITEM;208;548;0.95;115.68
ITEM;8;301;1.07;556.69
ITEM;115;281;0.70;15.40
ITEM;664;5;0.97;107615.60
ITEM;665;30;0.70;133875.00
ITEM;2174;35;1.22;160378.50
ITEM;311;67;0.67;38.32
ITEM;116;482;0.95;85.39
ITEM;109;123;0.66;2.64
ITEM;353;46;1.09;48.24
ITEM;406;30;0.66;16.05
ITEM;403;22;0.70;12.83
ITEM;101;129;0.62;0.36
ITEM;168;653;0.95;44.51
ITEM;623;30;0.79;32390.63
ITEM;606;3;0.99;330646.90
ITEM;110;222;0.73;9.93
ITEM;605;18;0.99;203475.00
ITEM;603;9;0.81;33390.63
ITEM;325;18;0.88;16.90
ITEM;404;1;0.78;15.95
ITEM;200;411;0.53;24.04
ITEM;300;49;1.13;61.44
ITEM;1779;41;0.84;6890.83
ITEM;1780;36;0.82;6602.25
ITEM;1778;43;0.71;5588.80
ITEM;1781;33;0.78;6277.19
ITEM;301;56;0.95;112.21
ITEM;2030;622;0.91;162.09
ITEM;332;32;0.63;33.76
ITEM;28;0;1.30;16865.94
ITEM;2651;165;0.62;310.58
ITEM;666;30;0.86;279946.90
ITEM;661;10;0.60;4578.13
ITEM;2033;92;0.92;477.97
ITEM;108;245;0.99;12.89
ITEM;2469;55;0.59;946.23
ITEM;2126;277;0.96;58.72
ITEM;2129;361;1.19;125.00
ITEM;63;165;0.99;169.56
ITEM;660;2;1.20;5289.06
ITEM;112;235;0.93;22.06
ITEM;2004;508;0.73;125.44
ITEM;7;729;0.90;280.39
ITEM;643;33;0.69;27390.63
ITEM;2035;145;1.19;960.43
ITEM;11;582;0.95;76.74
ITEM;24;8;1.05;1883.71
ITEM;2118;9;1.00;300.23
ITEM;27;0;2.50;26422.24
ITEM;322;35;0.76;132.34
ITEM;2111;101;0.55;17.05
ITEM;2114;32;0.95;57.60
ITEM;204;462;0.76;64.25
ITEM;1124;58;0.94;16674.28
ITEM;1126;54;1.01;72288.78
ITEM;343;53;0.80;90.12
ITEM;341;21;1.13;75.96
ITEM;2115;86;0.82;57.68
ITEM;2401;21;0.55;416.38
ITEM;62;272;0.72;80.89
ITEM;324;43;0.86;36.54
ITEM;735;91;0.82;1694531.00
ITEM;1002;14;0.86;861.38
ITEM;313;42;0.82;132.58
ITEM;2;691;0.97;23.18
ITEM;604;16;0.60;59515.63
ITEM;405;47;0.59;13.88
ITEM;602;35;0.83;12036.72
ITEM;2007;160;0.61;196.34
ITEM;673;48;1.14;399125.00
ITEM;675;115;0.53;112465.60
ITEM;753;10;1.07;153089.10
ITEM;29;0;1.22;20280.06
ITEM;102;440;0.63;1.22
ITEM;627;25;0.92;404462.50
ITEM;331;21;1.14;143.49
ITEM;646;22;1.18;404746.80
ITEM;746;30;1.05;40851.56
ITEM;1571;50;1.06;5305.97
ITEM;2300;1;0.53;26903.71
ITEM;1581;79;1.01;9748.14
ITEM;621;13;1.02;8778.13
ITEM;730;136;1.14;44901.56
ITEM;751;2;0.97;37251.56
ITEM;757;99;1.22;48501.56
ITEM;1601;1;0.60;1193.98
ITEM;2295;8;1.04;34659.15
ITEM;401;24;0.57;1244.93
ITEM;305;45;0.64;73.23
ITEM;2210;34;0.85;24631.88
ITEM;1172;54;1.09;10994.63
ITEM;105;548;1.03;8.88
ITEM;2009;352;1.23;604.17
ITEM;2475;78;0.53;2584.77
ITEM;2010;224;1.23;144.68
ITEM;2477;73;1.23;1761.17
ITEM;20;6;1.05;111.21
ITEM;41;133;0.79;13.54
ITEM;51;284;1.18;37.15
ITEM;304;14;0.56;57.24
ITEM;2105;51;0.84;334950.00
ITEM;742;81;0.81;66781.25
ITEM;747;68;1.02;87781.25
ITEM;2012;252;0.78;101.16
ITEM;677;53;1.04;193029.70
ITEM;2479;71;0.54;823.07
ITEM;733;101;1.00;85781.25
ITEM;2014;564;0.70;157.97
ITEM;758;83;0.71;56781.25
ITEM;691;13;1.17;30834.37
ITEM;692;13;0.76;9885.00
ITEM;690;122;1.08;14067.19
ITEM;4;323;0.67;49.61
ITEM;155;152;0.89;16.68
ITEM;104;1124;0.96;2.21
ITEM;166;51;1.02;66.01
ITEM;350;45;0.78;24.30
ITEM;320;68;0.89;15.11
ITEM;352;38;1.20;229.02
ITEM;680;57;0.54;9945.31
ITEM;740;127;0.99;12717.19
ITEM;674;64;0.52;49115.62
ITEM;676;131;0.92;77781.25
ITEM;670;37;0.67;63337.50
ITEM;711;26;0.72;14445.31
ITEM;23;0;2.50;2063.09
ITEM;161;231;0.83;18.16
ITEM;728;15;0.72;8667.19
ITEM;210;93;0.70;42.78
ITEM;25;0;2.50;9401.78
ITEM;321;43;0.95;151.38
ITEM;121;154;1.04;45.34
ITEM;106;226;1.12;9.97
ITEM;601;6;1.16;10178.13
ITEM;150;708;0.51;4.19
ITEM;2426;66;1.22;147.66
ITEM;303;66;0.70;47.08
ITEM;342;56;1.22;24.68
ITEM;107;1099;0.86;7.68
ITEM;644;33;0.92;101115.60
ITEM;1210;50;0.51;52781.09
ITEM;2227;75;0.51;2540113.00
ITEM;407;41;0.64;214.56
ITEM;103;971;1.16;0.94
ITEM;330;9;0.84;57.08
ITEM;607;24;0.74;310862.50
ITEM;6;716;0.72;141.56
ITEM;118;302;0.99;4.66
ITEM;2332;31;1.04;776104.10
ITEM;2307;71;0.60;801539.60
ITEM;1543;39;0.63;24642.38
ITEM;1603;2;0.61;25438.05
ITEM;213;346;0.67;51.36
ITEM;600;25;0.84;3489.06
ITEM;2410;11;0.54;1288.91
ITEM;1524;65;0.78;121919.60
ITEM;1624;76;0.97;300687.80
ITEM;1754;58;1.16;841525.20
ITEM;1150;51;1.07;2319.53
ITEM;1152;25;0.89;7253.78
ITEM;1154;34;1.04;34565.78
ITEM;1156;45;0.81;102642.80
ITEM;1105;47;0.61;6034.78
ITEM;1013;47;0.56;2172.63
ITEM;3;63;0.52;19.65
ITEM;43;369;0.75;20.48
ITEM;1065;5;0.88;12395.25
ITEM;1056;22;1.02;117978.00
ITEM;207;265;1.11;123.49
ITEM;114;336;0.92;1.63
ITEM;1400;72;1.21;5872.97
ITEM;1404;13;0.83;52961.56
ITEM;21;0;2.50;589.45
ITEM;113;542;0.87;4.44
ITEM;722;101;1.16;6106.88
ITEM;2016;596;1.09;398.93
ITEM;693;143;1.11;11613.75
ITEM;703;94;0.88;3689.06
ITEM;720;31;0.71;3406.88
ITEM;217;627;0.73;110.51
ITEM;2464;43;1.20;2386.43
ITEM;626;24;0.64;194146.90
ITEM;2080;42;0.80;661.54
ITEM;323;18;0.79;24.68
ITEM;117;1184;0.59;24.81
ITEM;152;227;1.02;10.80
ITEM;2018;59;0.62;377.57
ITEM;625;1;1.04;215475.00
ITEM;1059;8;1.05;4629.84
ITEM;1069;25;0.58;8931.38
ITEM;1074;38;1.04;36630.75
ITEM;2154;32;0.82;331857.00
ITEM;1077;6;0.65;165750.00
ITEM;642;26;0.82;11861.72
ITEM;340;64;0.74;45.08
ITEM;640;15;0.79;3239.06
ITEM;645;28;0.58;105075.00
ITEM;162;797;0.77;16.26
ITEM;2081;40;0.70;1081.54
ITEM;647;21;1.09;492862.50
ITEM;749;62;0.59;111953.10
ITEM;760;141;1.00;214453.10
ITEM;124;389;1.19;107.40
ITEM;2020;556;0.95;145.65
ITEM;5;471;0.63;74.64
ITEM;75;243;0.85;89.11
ITEM;2124;179;0.84;736.54
ITEM;2120;309;1.17;416.68
ITEM;2121;370;1.08;497.88
ITEM;2122;387;0.89;508.89
ITEM;2123;270;0.69;468.65
ITEM;2125;68;1.20;1375.69
ITEM;2127;17;1.09;78.86
ITEM;2130;114;0.87;109.24
ITEM;1300;31;0.70;7809.38
ITEM;333;52;0.78;209.27
ITEM;22;19;1.09;416.22
ITEM;2113;161;0.76;37.25
ITEM;2402;1;1.25;1337.13
ITEM;624;14;0.66;67315.63
ITEM;663;30;0.75;30390.63
ITEM;662;27;0.62;8361.72
ITEM;100;128;0.64;0.25
ITEM;2082;32;0.70;3273.97
ITEM;26;0;2.50;17978.32
ITEM;408;25;0.71;2970.23
ITEM;2253;26;0.99;630772.50
ITEM;2254;34;0.63;4565925.00
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;16;0.55
SKILL;226;0.72
SKILL;213;1.24
SKILL;225;1.32
SKILL;16;1.12
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;120;120;177247;CHAT_PILOT#sector_80_station_0.txt#sector_1.txt#Engineer Faweli Imesah#npc_ship_data_(pirate_escort_1)#24#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Engineer Faweli Imesah</i></color> in <color='cyan'>Dellis Primeria</color> and return to Genistar in <color='cyan'>Blades of Dandrow</color>;4;<i>Vesga Oumel</i> has requested that debt be collected from <color='yellow'><i>Engineer Faweli Imesah</i></color>. After 3 payments to the Financial faction for transport fines, <color='yellow'><i>Engineer Faweli Imesah</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Engineer Faweli Imesah</i></color> was in the vicinity of the <color='cyan'>Dellis Primeria</color> system. Have a chat with them, collect the debt, and return to the Genistar in the <color='cyan'>Blades of Dandrow</color> system to deliver the payment.;22314;6200
MISSION;72;180;182157;ESCORT#sector_0_station_0.txt#sector_0_station_3.txt#Sir Dueba Bafeivaj#npc_ship_data_(transport_escort_2)#22#null#null#null;A ship in Biomate University in <color='cyan'>Void Starcross</color> needs an escort to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;5;After being selected for an academic grant, Dr. <color='yellow'><i>Sir Dueba Bafeivaj</i></color> has requested an escort to the StarShepards Headquarters station in the <color='cyan'>Void Starcross</color> system. <color='yellow'><i>Sir Dueba Bafeivaj</i></color> has posted his pick-up location as Biomate University in <color='cyan'>Void Starcross</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;7920;900
MISSION;150;120;504455;FABRICATE#4#2506#sector_57_station_0.txt#sector_14_station_1.txt#null#null#null#null;Dock at the OmniTrust station fabricator in <color='cyan'>Ponze</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Fusion Chambers</color>;3;<i>Sadni Vakfebar</i> runs a Trade production company at Horizons. After having some issues with a manufacturing plant, <color='yellow'>4</color> items of <color='yellow'>Fusion Chambers</color> were marked as low supply. Head on over to <color='cyan'>Ponze</color> and fabricate these <color='yellow'>Fusion Chambers</color> at OmniTrust.;15836;4400
MISSION;53;150;520672;SCAN_STRUCTURE#sector_77_station_0.txt#sector_78.txt#Storage Facility#structure_storage_1.txt#1#null#null#null;Scan the <color='yellow'>Storage Facility</color> structure in <color='cyan'>Bitcola</color> and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;3;Space rats have infested the <color='yellow'>Storage Facility</color> structure over in <color='cyan'>Bitcola</color>. <i>Yaada Youjo</i> has been trying to get help with the infestation, but until the structure is scanned, Trade union members are not going to come. Head back to the Lacuna Bandits station located in the <color='cyan'>Ballast Crow</color> with a scan report.;13316;3700
MISSION;11;120;141877;DELIVERY#2#1483#sector_0_station_5.txt#sector_78_station_0.txt#null#null#null#null;Deliver light container of <color='yellow'>2</color> <color='yellow'>Anti-Beam Pods</color> to Proctors Center Station in <color='cyan'>Void Starcross</color>;3;The Trade Faction has commissioned a transport liaison, <i>Keekol Portquqa</i> at Tella's. After an audit, <color='yellow'>2</color> items of <color='yellow'>Anti-Beam Pods</color> were left un accounted for. Head on over to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Anti-Beam Pods</color> to Proctors Center.;10800;3000
MISSION;122;120;806834;CHAT_PILOT#sector_0_station_2.txt#sector_103.txt#Rookie Wheane Daleaobac#npc_ship_data_(recon_carrier_1)#20#missions_debt_collection.txt#0#null;Collect a payment from <color='yellow'><i>Rookie Wheane Daleaobac</i></color> in <color='cyan'>Vindicati</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;5;<i>Wheazils Sawho</i> has requested that debt be collected from <color='yellow'><i>Rookie Wheane Daleaobac</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Rookie Wheane Daleaobac</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Rookie Wheane Daleaobac</i></color> was in the vicinity of the <color='cyan'>Vindicati</color> system. Have a chat with them, collect the debt, and return to the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system to deliver the payment.;34331;10050
MISSION;60;140;380065;HARVEST#80#2#sector_58.txt#sector_16_station_0.txt#null#null#null#null;Harvest <color='yellow'>Special Gradeon Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>80</color> ore to Rendo Labs in <color='cyan'>Entropy</color>;3;A local prospector, <i>Timlas Bosip</i> of the Trade faction has located a light quantity of special <color='yellow'>Special Gradeon Ore</color> in the <color='cyan'>Lins</color> sector. Head over there and harvest all of the special <color='yellow'>Special Gradeon Ore</color>, and meet <i>Timlas Bosip</i> back at Rendo Labs station located in the <color='cyan'>Entropy</color>.;12493;1600
MISSION;131;140;973701;SALVAGE#8#20#sector_14.txt#sector_58_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Gate of Alpharis</color> and return with <color='yellow'>8</color> to CoraVault in <color='cyan'>Lins</color>;3;While collecting some junk in the <color='cyan'>Gate of Alpharis</color> system, <i>Tajkin Nedorn</i> discovered a light haul of <color='yellow'>8</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Tajkin Nedorn</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the CoraVault station located in the <color='cyan'>Lins</color>.;13469;2400
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.02;ship_data_(battle_utility_1).txt
SHIP;2;1.02;ship_data_(recon_shuttle_1).txt
SHIP;3;1.04;ship_data_(pirate_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

