// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;CoraVault
STATION;type;Banking Facility
STATION;owner;Nexa Mapei
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;3
STATION;icon;coravault.png
STATION;filename;sector_58_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-6-4-3-2-1-6-4-1-3-1-6-5-0-5-0-5-5-1-4-0
STATION;interior_seed;5-1-45-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;63434.59
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.06;npc_ship_data_(support_utility_1).txt
MERC;3;1.54;npc_ship_data_(recon_cruiser_1).txt
MERC;5;1.85;npc_ship_data_(support_escort_1).txt
MERC;3;1.62;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (3) Items ;302x181,301x548,302x175;203082;92575.67
BUYORDER;Market Shortage: (2) Items ;300x927,300x528;141967;116540.70
BUYORDER;Market Demands: (3) Items ;300x574,300x534,301x793;219762;162483.70
BUYORDER;Market Items Req: (3) Items ;300x883,302x181,301x555;178991;124572.30
SELLORDER;Market Items: (3) Items ;205x591,203x286,75x137;84942.00;110612.00
SELLORDER;Market Surplus: (1) Items ;78x151;32738.00;72780.20
SELLORDER;Market Inventory: (3) Items ;207x123,201x361,202x120;50053.00;73692.20
SELLORDER;Market Inventory: (1) Items ;208x194;23655.00;90108.03
ITEM;1451;8;0.75;0
ITEM;1;9672;0.64;8.007
ITEM;52;79;0.91;8.007
ITEM;1622;23;1.22;8.007
ITEM;2363;12;0.67;226087.8
ITEM;1572;24;0.79;13131.62
ITEM;622;6;0.88;13131.62
ITEM;641;14;0.71;13131.62
ITEM;1552;24;0.76;13131.62
ITEM;737;61;0.89;13131.62
ITEM;310;13;1.10;13131.62
ITEM;163;168;1.18;13131.62
ITEM;302;6;1.05;13131.62
ITEM;2131;115;0.81;13131.62
ITEM;1052;36;0.94;1841.006
ITEM;2140;15;0.74;1841.006
ITEM;1057;29;0.77;1841.006
ITEM;2142;24;0.65;1841.006
ITEM;167;213;1.08;1841.006
ITEM;2444;30;0.99;1841.006
ITEM;169;275;0.67;50.60374
ITEM;2445;14;0.82;50.60374
ITEM;50;9;0.77;50.60374
ITEM;70;33;0.82;50.60374
ITEM;1750;5;0.73;50.60374
ITEM;1570;6;1.19;50.60374
ITEM;1650;22;0.84;50.60374
ITEM;2344;16;0.83;50.60374
ITEM;620;6;1.18;50.60374
ITEM;312;21;1.21;50.60374
ITEM;1710;32;0.62;50.60374
ITEM;1730;30;0.57;1395.909
ITEM;2358;9;1.18;1395.909
ITEM;1615;16;0.68;1395.909
ITEM;1600;16;1.06;1395.909
ITEM;201;274;0.92;59.54739
ITEM;2289;23;0.58;59.54739
ITEM;736;9;0.75;59.54739
ITEM;1500;39;1.24;1297.636
ITEM;400;144;0.65;664.5896
ITEM;208;150;0.25;664.5896
ITEM;2455;17;1.20;1821.832
ITEM;2171;25;0.89;17109.97
ITEM;727;40;0.55;6156.563
ITEM;311;21;0.91;6156.563
ITEM;109;34;1.18;6156.563
ITEM;406;654;1.02;27.29356
ITEM;403;5;0.58;27.29356
ITEM;205;150;0.25;27.29356
ITEM;101;496;0.65;0.3828281
ITEM;2435;3;0.71;377.0592
ITEM;404;601;0.63;12.26094
ITEM;200;153;0.51;12.26094
ITEM;300;17;1.05;12.26094
ITEM;301;885;1.05;158.0747
ITEM;2651;106;1.14;158.0747
ITEM;661;3;1.17;158.0747
ITEM;2126;113;0.93;158.0747
ITEM;63;92;1.11;158.0747
ITEM;660;9;1.10;158.0747
ITEM;2111;20;0.91;158.0747
ITEM;204;97;1.08;158.0747
ITEM;1120;2;0.67;158.0747
ITEM;1121;32;0.84;158.0747
ITEM;1122;27;1.06;158.0747
ITEM;2182;20;1.17;158.0747
ITEM;2112;126;0.81;158.0747
ITEM;62;105;0.95;158.0747
ITEM;1001;22;0.69;158.0747
ITEM;1002;8;1.06;158.0747
ITEM;313;29;1.12;158.0747
ITEM;2;71;0.67;158.0747
ITEM;405;16;0.76;158.0747
ITEM;602;3;0.88;158.0747
ITEM;102;399;0.92;158.0747
ITEM;1621;9;1.07;158.0747
ITEM;741;64;1.21;48169.69
ITEM;746;23;0.85;48169.69
ITEM;2362;1;0.75;48169.69
ITEM;1571;24;1.08;48169.69
ITEM;621;6;0.83;48169.69
ITEM;751;39;0.57;19369.69
ITEM;1616;10;1.13;19369.69
ITEM;2315;3;0.87;22859.77
ITEM;1551;1;1.01;22859.77
ITEM;2320;15;0.59;15830.17
ITEM;1501;5;0.72;15830.17
ITEM;305;14;0.51;15830.17
ITEM;2210;28;0.99;15830.17
ITEM;1172;22;0.66;6037.075
ITEM;20;2560;1.13;97.06287
ITEM;2397;27;0.83;97.06287
ITEM;2119;45;0.68;97.06287
ITEM;1009;2;0.52;97.06287
ITEM;1008;31;0.74;1501.094
ITEM;1007;7;0.73;1501.094
ITEM;304;837;0.71;1501.094
ITEM;742;42;0.92;1501.094
ITEM;747;10;0.94;1501.094
ITEM;692;24;0.63;1501.094
ITEM;690;29;0.70;1501.094
ITEM;158;49;0.94;1501.094
ITEM;155;351;1.04;1501.094
ITEM;104;278;0.74;1501.094
ITEM;166;159;0.63;1501.094
ITEM;203;164;0.79;1501.094
ITEM;680;63;0.50;9010.938
ITEM;672;27;0.57;90391.88
ITEM;740;17;0.80;9906.563
ITEM;2539;10;0.67;95478.76
ITEM;2545;8;1.12;95478.76
ITEM;674;33;1.24;143056.9
ITEM;676;2;0.93;143056.9
ITEM;732;28;0.52;143056.9
ITEM;750;10;1.25;16656.56
ITEM;670;59;0.75;73252.5
ITEM;157;144;0.66;73252.5
ITEM;160;281;0.63;12.26094
ITEM;161;215;0.95;12.26094
ITEM;601;5;0.91;7704.375
ITEM;303;21;1.22;7704.375
ITEM;206;75;1.05;7704.375
ITEM;2453;29;0.83;7704.375
ITEM;1201;10;1.15;7704.375
ITEM;1205;32;1.08;16457.66
ITEM;407;740;0.75;16457.66
ITEM;103;535;1.11;0.8928025
ITEM;1160;6;1.10;0.8928025
ITEM;1161;9;1.05;0.8928025
ITEM;118;246;0.67;0.8928025
ITEM;170;156;1.22;0.8928025
ITEM;600;14;0.71;0.8928025
ITEM;2117;26;0.77;0.8928025
ITEM;2191;9;0.77;0.8928025
ITEM;1152;13;0.75;0.8928025
ITEM;1101;35;1.04;0.8928025
ITEM;1013;17;0.73;0.8928025
ITEM;1014;23;0.83;0.8928025
ITEM;3;298;1.07;0.8928025
ITEM;1060;36;0.77;5295.675
ITEM;207;150;0.25;5295.675
ITEM;2454;18;0.58;5295.675
ITEM;154;349;0.61;5295.675
ITEM;114;54;0.66;5295.675
ITEM;21;4144;0.57;86.0875
ITEM;113;412;0.59;86.0875
ITEM;721;57;1.02;5282.625
ITEM;693;38;0.67;6365.25
ITEM;703;39;0.90;6365.25
ITEM;723;30;0.75;6365.25
ITEM;755;15;1.16;6365.25
ITEM;159;88;1.10;55.41725
ITEM;1450;27;0.97;55.41725
ITEM;2257;29;1.09;55.41725
ITEM;152;134;0.64;55.41725
ITEM;156;118;1.06;55.41725
ITEM;1054;22;0.94;2041.116
ITEM;1059;2;0.67;2041.116
ITEM;642;4;0.61;2041.116
ITEM;640;7;1.18;2041.116
ITEM;162;251;0.69;14.25633
ITEM;202;30;0.63;14.25633
ITEM;734;12;0.94;14.25633
ITEM;75;155;0.56;14.25633
ITEM;76;2165;0.75;106.8266
ITEM;77;114;1.23;106.8266
ITEM;78;31;0.76;106.8266
ITEM;2124;149;0.82;106.8266
ITEM;2120;2500;0.25;106.8266
ITEM;2121;37;0.82;106.8266
ITEM;2122;4176;0.25;75.15272
ITEM;2123;37;0.81;75.15272
ITEM;2125;2500;0.25;75.15272
ITEM;2127;145;0.82;75.15272
ITEM;1300;16;0.84;75.15272
ITEM;22;4748;1.18;75.15272
ITEM;662;13;1.14;75.15272
ITEM;100;216;0.76;0.3102188
ITEM;408;809;0.99;0.3102188
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;32;0.74
SKILL;223;0.38
SKILL;43;1.01
SKILL;15;1.10
SKILL;32;1.07
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;80;120;809260;RECOVER#2#1552#sector_36.txt#sector_58_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>2</color> <color='yellow'>Advanced Shield Boosters</color> in <color='cyan'>Beacon Spita</color>, and return to CoraVault in <color='cyan'>Lins</color>;5;The Commerce faction has lost track of a light crate somewhere in the <color='cyan'>Beacon Spita</color> system. Head over there and recover the crate containing <color='yellow'>2</color> units of <color='yellow'>Advanced Shield Boosters</color>, and dock at the CoraVault in the <color='cyan'>Lins</color> sector. <i>Zasih Lomsa</i> has been instructed to wait for the lost cargo at the CoraVault station.;13664;4375
MISSION;110;600;132663;KILL_RAIDERS#sector_0_station_0.txt#sector_81.txt#1#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Hunt <color='yellow'>1 Raider</color> level 10 in <color='cyan'>Ferrelis Cove</color> and return to Biomate University in <color='cyan'>Void Starcross</color>;4;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Ferrelis Cove</color>. The Financial faction has requested a sector clearance contract. Head on over to the <color='cyan'>Ferrelis Cove</color> and clear out the <color='yellow'>1 Raider</color>, level 10 that have set up camp there. Dock at the Biomate University station in <color='cyan'>Void Starcross</color> when complete.;54168;21000
MISSION;81;120;518088;RECOVER#3#24#sector_56.txt#sector_78_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Hunu</color> sector, recover the <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color> and return to Tella's in <color='cyan'>Bitcola</color>;4;<i>Akvaj Ilstel</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Hunu</color>. In an effort to save time, <i>Akvaj Ilstel</i> has sub-contracted the task of returning the light shipment to Tella's in <color='cyan'>Bitcola</color>. The Financial faction is aware of the situation and has sent a representative to Tella's.;11209;1875
MISSION;54;150;395116;SCAN_STRUCTURE#sector_0_station_0.txt#sector_35.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Gather scan data on the target <color='yellow'>Defensive Gun Platform</color> in <color='cyan'>Felishar</color> and return to Biomate University in <color='cyan'>Void Starcross</color>;5;In the <color='cyan'>Felishar</color> sector, <i>Yari Xigo</i> has requested a structural scan of the <color='yellow'>Defensive Gun Platform</color> structure. His old scan just recently expired, and before any further renovations can be carried out, a new scan is required. Once completed,  Head back to the Biomate University station located in the <color='cyan'>Void Starcross</color> with an updated scan report.;15762;3800
MISSION;54;150;595355;SCAN_STRUCTURE#sector_16_station_0.txt#sector_3.txt#Recon Center#structure_recon_1.txt#1#null#null#null;Gather scan data on the target <color='yellow'>Recon Center</color> in <color='cyan'>Starfort Ramos</color> and return to Rendo Labs in <color='cyan'>Entropy</color>;3;In the <color='cyan'>Starfort Ramos</color> sector, <i>Fonto Qedee</i> has requested a structural scan of the <color='yellow'>Recon Center</color> structure. His old scan just recently expired, and before any further renovations can be carried out, a new scan is required. Once completed,  Head back to the Rendo Labs station located in the <color='cyan'>Entropy</color> with an updated scan report.;15762;3800
MISSION;73;210;131350;ESCORT#sector_16_station_0.txt#sector_0_station_2.txt#Miner Sadzeta Belbeckfi#npc_ship_data_(excavation_frigate_3)#20#null#null#null;<color='yellow'><i>Miner Sadzeta Belbeckfi</i></color> is waiting at Rendo Labs in <color='cyan'>Entropy</color> and needs an escort to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;4;The Financial political party has drafted an escort request for an incoming diplomat named <color='yellow'><i>Miner Sadzeta Belbeckfi</i></color>. He is currently awaiting in <color='cyan'>Entropy</color>, and is docked at the Rendo Labs station. Lead <color='yellow'><i>Miner Sadzeta Belbeckfi</i></color> to the StarGypsy Warehouse station in the <color='cyan'>Void Starcross</color> system safely.;12285;2925
MISSION;51;120;849919;SCAN_STRUCTURE#sector_56_station_1.txt#sector_78.txt#Labor United#structure_habitat_1.txt#1#null#null#null;Find the target <color='yellow'>Labor United</color> structure in <color='cyan'>Bitcola</color>, scan, and return to ValueStar in <color='cyan'>Hunu</color>;3;<i>Webid Cooxeue</i> has requested that someone verify the location of <color='yellow'>Labor United</color> in the <color='cyan'>Bitcola</color> sector. After a recent mix-up at the zoning office, the Trade reps are concerned that construction guidelines were not followed properly. Return to the ValueStar station located in the <color='cyan'>Hunu</color> with the scan data.;15586;4375
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.01;ship_data_(pirate_frigate_1).txt
SHIP;2;1.05;ship_data_(recon_escort_1).txt
SHIP;3;0.99;ship_data_(pirate_cruiser_1).txt
SHIP;4;1.01;ship_data_(battle_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

