// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomart
STATION;type;Auction Facility
STATION;owner;Leira Kolyitpi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;biomart.png
STATION;filename;sector_60_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-1-2-4-0-9-1-2-2-1-3-0-6-2-0-2-0
STATION;interior_seed;5-2-45-3
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.02;npc_ship_data_(battle_utility_1).txt
MERC;6;1.62;npc_ship_data_(excavation_utility_1).txt
MERC;8;1.59;npc_ship_data_(recon_carrier_1).txt
MERC;9;1.60;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;21x287;55459;105641.90

SELLORDER;Market Supply: (1) Items ;156x610;5764;132201.00
BUYORDER;Need (1) Items ;406x1526;42530;100631.50

ITEM;1161;24;0.53;2113.087
ITEM;1055;18;0.83;2113.087
ITEM;1052;20;0.68;1245.019
ITEM;1050;11;1.17;2165.756
ITEM;1111;14;0.83;2165.756
ITEM;1171;25;1.12;5691.613
ITEM;1150;14;0.65;5691.613
ITEM;1160;23;0.80;1818.609
ITEM;1300;19;1.09;1818.609
ITEM;1054;31;0.56;1818.609
ITEM;1059;16;0.91;1818.609
ITEM;1009;18;1.18;1818.609
ITEM;1450;17;0.90;1818.609
ITEM;1100;22;1.02;440.6563
ITEM;1007;29;0.63;1277.412
ITEM;1151;15;0.64;1277.412
ITEM;1460;9;1.05;1277.412
ITEM;1501;20;0.67;1324.509
ITEM;1631;10;1.02;11911.2
ITEM;1651;2;0.88;11911.2
ITEM;1750;38;0.71;1216.153
ITEM;1530;11;1.10;1216.153
ITEM;1620;22;0.76;998.2006
ITEM;1560;15;0.75;998.2006
ITEM;1540;16;1.20;998.2006
ITEM;1611;22;0.69;1614.629
ITEM;1751;22;1.11;1614.629
ITEM;1591;4;1.08;1614.629
ITEM;1561;15;0.54;1614.629
ITEM;1541;24;1.16;1614.629
ITEM;1520;16;0.71;1614.629
ITEM;1580;19;1.12;1614.629
ITEM;1551;12;0.97;1614.629
ITEM;1511;15;0.87;1614.629
ITEM;1615;6;0.94;1614.629
ITEM;2131;1350;0.89;1614.629
ITEM;2118;52;0.84;1614.629
ITEM;2652;60;0.79;1614.629
ITEM;2117;2084;1.16;1614.629
ITEM;2112;1319;0.93;1614.629
ITEM;40;2851;1.08;1614.629
ITEM;2116;25;1.19;1614.629
ITEM;2119;3382;0.74;1614.629
ITEM;77;25;1.03;1614.629
ITEM;2651;43;0.84;1614.629
