// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Valuestar Hub
STATION;type;Market Center
STATION;owner;Bosadjan Wagen
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_62_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-0-5-0-3-5-1-6-5-3-9-1-4-7-3-2-90
STATION;interior_seed;5-0-45-3
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.56;npc_ship_data_(battle_cruiser_1).txt
MERC;3;0.50;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (2) Items ;161x425,160x278;32172;138762.60

BUYORDER;Market Out of Stock: (3) Items ;165x829,154x258,166x608;180272;135248.80
BUYORDER;Market Needs Goods: (1) Items ;160x332;13980;135235.80
SELLORDER;Market Supply: (2) Items ;151x277,157x55;2991;50356.72
BUYORDER;Market Needs Goods: (2) Items ;166x70,162x64;7549;30571.87
BUYORDER;Market Demands: (2) Items ;160x34,166x158;23112;45881.87
SELLORDER;Market Inventory: (1) Items ;152x70;778;85085.08

ITEM;1172;67;0.72;0
ITEM;1067;58;0.56;0
ITEM;1070;11;0.59;0
ITEM;1126;4;1.03;73942.22
ITEM;1200;47;1.15;4538.298
ITEM;1402;70;0.87;4538.298
ITEM;1117;76;1.05;91098.84
ITEM;1122;46;1.23;5746.77
ITEM;1026;72;1.22;5746.77
ITEM;1052;73;1.22;5746.77
ITEM;1405;14;0.96;5746.77
ITEM;1206;75;1.01;5746.77
ITEM;1406;56;0.97;5746.77
ITEM;1061;27;0.65;5746.77
ITEM;1171;40;0.84;5746.77
ITEM;1120;51;1.02;5746.77
ITEM;1059;52;0.83;5746.77
ITEM;1019;23;0.96;5746.77
ITEM;1006;7;0.96;5746.77
ITEM;1015;3;0.91;5746.77
ITEM;1113;66;0.65;5746.77
ITEM;1164;44;0.63;5746.77
ITEM;1069;48;0.63;5746.77
ITEM;1014;18;1.19;5746.77
ITEM;1172;32;0.62;5746.77
ITEM;1785;30;0.94;5746.77
ITEM;1622;26;1.07;5746.77
ITEM;1542;19;0.98;5746.77
ITEM;1604;66;0.55;5746.77
ITEM;1520;42;1.07;5746.77
ITEM;1502;74;0.59;5746.77
ITEM;1775;57;1.02;5746.77
ITEM;1770;70;0.53;5746.77
ITEM;1524;61;0.96;5746.77
ITEM;1593;77;1.21;5746.77
ITEM;1761;71;0.87;7142.833
ITEM;1602;50;0.84;7142.833
ITEM;1531;71;1.01;7142.833
ITEM;1540;60;0.58;7142.833
ITEM;1779;10;0.57;7142.833
ITEM;1760;28;1.25;7142.833
ITEM;1732;43;0.49;7142.833
ITEM;1564;19;0.97;7142.833
