// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Parisan
STATION;type;Military Base
STATION;owner;Ueca Sevlaar
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;parisan.png
STATION;filename;sector_71_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-1-4-3-0-7-0-7-8-3-1-90
STATION;interior_seed;3-4-15-2
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.88;npc_ship_data_(transport_frigate_1).txt
MERC;9;1.57;npc_ship_data_(transport_frigate_1).txt
MERC;2;1.79;npc_ship_data_(battle_cruiser_1).txt
MERC;2;0.99;npc_ship_data_(support_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (3) Items ;406x576,407x175,406x605;222564;79188.18
BUYORDER;Purchasing (3) Items ;350x736,332x659,353x869;119115;89303.55
BUYORDER;Market Needs Goods: (1) Items ;406x58;2639;57011.81
BUYORDER;Market Out of Stock: (2) Items ;407x75,406x63;65710;29443.63
BUYORDER;Market Low Inventory: (2) Items ;406x175,407x137;107459;90004.63
ITEM;1460;7;0.62
ITEM;1111;11;0.95
ITEM;1001;19;0.52
ITEM;1161;16;1.18
ITEM;1160;18;0.86
ITEM;1052;4;0.62
ITEM;1110;2;1.00
ITEM;1150;8;0.95
ITEM;1059;4;1.21
ITEM;1201;9;1.07
ITEM;1054;10;1.07
ITEM;1401;18;1.05
ITEM;1057;17;1.22
ITEM;1101;3;0.69
ITEM;1003;19;1.20
ITEM;1470;19;0.60
ITEM;1151;3;0.54
ITEM;1300;7;1.09
ITEM;1750;19;0.52
ITEM;1550;11;1.10
ITEM;1500;9;1.19
ITEM;1561;8;0.80
ITEM;1551;5;1.18
ITEM;1511;2;0.88
ITEM;1520;13;0.57
ITEM;1531;11;0.73
ITEM;1591;14;0.91
ITEM;1610;9;1.01
ITEM;1631;4;0.70
ITEM;1615;14;0.90
ITEM;1581;6;0.55
ITEM;1640;2;0.67
ITEM;1590;7;0.87
ITEM;1530;16;1.08
ITEM;1521;17;0.64
ITEM;1630;11;0.52
ITEM;1540;16;0.81
ITEM;43;33;1.20
ITEM;2127;9;0.94
ITEM;2125;35;1.07
ITEM;53;89;0.59
ITEM;2128;63;0.82
ITEM;2650;78;1.22
ITEM;52;82;0.54
ITEM;78;12;0.85
ITEM;60;6;0.53
ITEM;63;23;0.86
ITEM;50;93;0.96
ITEM;2124;61;1.23
ITEM;2651;54;0.84
ITEM;703;38;0.51
ITEM;742;36;0.79
ITEM;710;20;1.04
ITEM;744;25;0.65
ITEM;731;28;1.15
ITEM;725;10;1.16
ITEM;755;11;0.67
ITEM;736;39;0.83
ITEM;749;35;0.98
ITEM;752;30;0.62
ITEM;726;25;1.10
ITEM;740;14;1.07
ITEM;690;7;0.71
ITEM;681;36;0.92
ITEM;620;3;1.11
ITEM;660;4;0.78
ITEM;641;5;0.58
ITEM;600;4;1.15
ITEM;601;7;0.74
ITEM;661;8;1.09
ITEM;621;3;0.96
ITEM;640;3;0.74
ITEM;302;17;0.78
ITEM;304;10;0.72
ITEM;404;5;0.74
ITEM;407;2;1.05
ITEM;408;12;1.07
ITEM;406;14;0.54
ITEM;300;11;0.55
ITEM;303;8;1.06
ITEM;301;4;1.10
ITEM;305;19;1.05
ITEM;403;13;1.17
ITEM;405;3;1.16
ITEM;21;172;0.88
ITEM;20;181;0.54
ITEM;2;114;0.79
ITEM;1;101;1.02
ITEM;103;141;0.57
ITEM;114;7;0.84
ITEM;104;6;1.23
ITEM;102;81;0.75
ITEM;100;1;1.05
ITEM;101;24;1.03
ITEM;163;127;0.98
ITEM;162;12;1.18
ITEM;155;26;1.13
ITEM;168;123;0.72
ITEM;152;126;0.89
ITEM;161;121;1.03
ITEM;153;82;0.65
ITEM;158;152;0.55
ITEM;159;168;1.19
ITEM;164;136;0.65
ITEM;160;90;0.85
ITEM;169;33;1.00
ITEM;167;101;1.01
ITEM;165;168;1.20
ITEM;150;79;1.08
ITEM;156;23;1.06
ITEM;2324;14;0.60
ITEM;2160;4;1.13
ITEM;2110;2;0.69
ITEM;2335;4;0.99
ITEM;2532;10;0.71
