// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Tella's
STATION;type;Entertainment Hub
STATION;owner;Jidzangee Akleinortis
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;tellas.png
STATION;filename;sector_78_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-0-2-1-0-2-0-5-3-2-6-90
STATION;interior_seed;3-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;27352.18
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.40;npc_ship_data_(battle_carrier_1).txt
MERC;1;1.77;npc_ship_data_(recon_carrier_1).txt
MERC;2;0.67;npc_ship_data_(transport_escort_1).txt
MERC;3;0.55;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchase Order for: (1) Items ;1025x13;157622;111921.50
BUYORDER;Market Demands: (1) Items ;407x103;92533.00;71281.61
BUYORDER;Market Items Req: (2) Items ;406x30,407x12;6107.00;43865.43
SELLORDER;Market Goods: (2) Items ;107x17,113x54;303.00;46191.53
ITEM;2000;30;0.70;0
ITEM;1;32;1.10;0
ITEM;42;0;1.16;28.07271
ITEM;52;0;1.12;47.3341
ITEM;61;85;0.80;47.3341
ITEM;641;4;0.61;47.3341
ITEM;2001;48;0.78;47.3341
ITEM;163;0;0.50;14.67797
ITEM;111;45;0.70;15.08102
ITEM;302;17;1.14;15.08102
ITEM;1052;0;1.06;2188.249
ITEM;1057;16;1.16;2188.249
ITEM;153;171;1.07;12.01766
ITEM;40;76;0.65;12.01766
ITEM;1620;1;1.01;1448.209
ITEM;1530;7;0.61;1448.209
ITEM;1750;11;0.86;1448.209
ITEM;1640;0;1.23;7151.696
ITEM;1570;27;0.79;7151.696
ITEM;2299;16;0.71;7151.696
ITEM;1650;0;1.22;7087.922
ITEM;620;6;1.24;7087.922
ITEM;2284;15;0.55;7087.922
ITEM;1615;19;1.05;7087.922
ITEM;1600;14;1.22;7087.922
ITEM;736;22;1.04;93141.25
ITEM;2319;2;1.20;16227.12
ITEM;1500;8;0.52;16227.12
ITEM;115;273;0.84;16227.12
ITEM;116;0;0.69;61.4553
ITEM;109;62;0.63;61.4553
ITEM;406;0;2.50;61.4553
ITEM;403;17;0.59;61.4553
ITEM;101;202;1.03;61.4553
ITEM;168;225;0.67;61.4553
ITEM;110;40;0.65;61.4553
ITEM;404;10;0.54;61.4553
ITEM;300;18;0.70;61.4553
ITEM;301;6;1.03;61.4553
ITEM;661;4;1.24;61.4553
ITEM;108;31;0.83;61.4553
ITEM;2002;61;0.66;61.4553
ITEM;2003;40;0.74;61.4553
ITEM;2126;93;0.77;61.4553
ITEM;660;2;1.12;5057.063
ITEM;112;0;0.81;19.63955
ITEM;2004;52;0.74;19.63955
ITEM;2005;34;0.82;182.833
ITEM;738;5;0.54;182.833
ITEM;151;0;1.12;12.64266
ITEM;2427;1;1.07;12.64266
ITEM;1120;12;1.24;12.64266
ITEM;2115;0;0.72;52.0312
ITEM;62;2500;0.69;52.0312
ITEM;2006;0;0.65;176.8795
ITEM;123;0;0.78;103.3304
ITEM;2;550;1.15;103.3304
ITEM;405;14;0.69;103.3304
ITEM;2007;45;0.84;306.9738
ITEM;2008;0;0.78;301.0613
ITEM;102;0;1.16;2.628531
ITEM;1521;0;0.68;1504.872
ITEM;1531;2;1.05;4741.612
ITEM;746;18;0.81;31563.56
ITEM;2345;12;0.59;31563.56
ITEM;621;3;0.60;31563.56
ITEM;1541;9;1.05;31563.56
ITEM;1616;15;0.60;31563.56
ITEM;2325;3;1.25;31563.56
ITEM;1601;18;1.03;31563.56
ITEM;1561;19;0.96;31563.56
ITEM;2295;12;0.90;31563.56
ITEM;1501;0;0.99;2197.273
ITEM;2265;4;0.56;2197.273
ITEM;1591;7;1.24;3953.155
ITEM;305;0;0.83;106.1198
ITEM;2210;3;0.81;24409.15
ITEM;105;68;0.60;24409.15
ITEM;2009;31;0.82;24409.15
ITEM;20;0;0.97;84.41843
ITEM;219;0;0.66;55.52724
ITEM;1009;12;0.50;55.52724
ITEM;1008;1;0.83;55.52724
ITEM;1007;4;0.67;55.52724
ITEM;304;0;0.80;94.72352
ITEM;1460;11;0.61;94.72352
