// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;SimKitten
STATION;type;Tavern Station
STATION;owner;Bruwhikadd Xenbue
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;simkitten.png
STATION;filename;sector_83_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-6-9-1-2-1-7-9-0-9-0-6-4-1-9-90
STATION;interior_seed;4-1-30-1
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.47;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.08;npc_ship_data_(battle_cruiser_1).txt
MERC;4;1.90;npc_ship_data_(transport_cruiser_1).txt
MERC;9;1.36;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;311x91;7152;33547.16
BUYORDER;Market Needs Goods: (3) Items ;403x91,310x30,313x125;29667;46010.37
BUYORDER;Market Items Req: (2) Items ;310x213,403x163;23324;50426.37
ITEM;1060;15;1.09;0
ITEM;1013;7;1.07;0
ITEM;1161;32;0.53;0
ITEM;1300;17;0.67;0
ITEM;1152;27;0.65;0
ITEM;1014;2;0.90;0
ITEM;1153;6;1.05;0
ITEM;1069;39;1.01;0
ITEM;1403;12;1.09;0
ITEM;1205;12;0.79;0
ITEM;1400;25;0.90;0
ITEM;1460;14;1.21;0
ITEM;1163;20;0.58;0
ITEM;1008;20;0.54;0
ITEM;1055;29;0.75;3555.45
ITEM;1020;39;1.07;3555.45
ITEM;1201;31;0.57;3555.45
ITEM;1062;5;0.54;5783.059
ITEM;1113;19;0.94;5783.059
ITEM;1532;1;0.55;5783.059
ITEM;1631;14;0.50;5783.059
ITEM;1752;34;0.77;5783.059
ITEM;1632;20;0.89;46104.13
ITEM;1572;15;1.14;24803.57
ITEM;1581;38;0.74;24803.57
ITEM;1643;28;1.02;24803.57
ITEM;1580;16;0.69;4273.864
ITEM;1583;26;1.13;4273.864
ITEM;1610;22;0.95;4273.864
ITEM;1552;9;1.13;4273.864
ITEM;1603;2;1.05;4273.864
ITEM;1511;1;0.76;4273.864
ITEM;1731;19;1.09;4273.864
ITEM;1540;3;0.55;4273.864
ITEM;1522;11;0.73;4273.864
ITEM;2118;135;0.67;4273.864
ITEM;63;43;0.89;197.2375
ITEM;2122;189;0.76;197.2375
ITEM;76;127;0.76;197.2375
ITEM;2121;2;0.85;500.2124
ITEM;62;86;0.67;500.2124
ITEM;2131;141;1.15;500.2124
ITEM;2117;3;1.25;362.8662
ITEM;70;199;1.19;362.8662
ITEM;2129;74;1.21;362.8662
ITEM;50;119;0.72;362.8662
ITEM;77;125;1.16;362.8662
ITEM;41;44;1.04;362.8662
ITEM;2113;197;0.95;362.8662
ITEM;43;111;0.57;22.22565
ITEM;2124;91;0.58;22.22565
ITEM;2111;21;0.86;22.22565
ITEM;2127;141;0.82;22.22565
ITEM;2120;48;1.00;22.22565
ITEM;2123;195;1.23;22.22565
ITEM;2116;188;0.78;22.22565
ITEM;2128;13;0.53;22.22565
ITEM;2119;66;1.01;22.22565
ITEM;758;49;1.01;22.22565
ITEM;744;59;0.95;259944.6
ITEM;748;57;0.50;259944.6
ITEM;701;43;0.67;259944.6
ITEM;756;24;0.75;259944.6
ITEM;700;7;1.08;259944.6
ITEM;754;21;1.05;259944.6
ITEM;726;38;0.77;259944.6
ITEM;752;62;0.80;259944.6
ITEM;741;20;0.64;259944.6
ITEM;670;6;0.88;259944.6
ITEM;703;27;0.91;259944.6
ITEM;743;73;1.12;259944.6
ITEM;742;58;0.90;259944.6
ITEM;676;53;0.58;66917.33
ITEM;753;28;1.03;66917.33
ITEM;680;19;1.10;29844.5
ITEM;736;78;0.80;29844.5
ITEM;672;29;0.73;29844.5
ITEM;674;24;1.26;175735.2
ITEM;693;50;1.00;175735.2
ITEM;671;31;0.78;175735.2
ITEM;731;18;0.67;175735.2
ITEM;661;16;1.18;175735.2
ITEM;620;3;0.58;175735.2
ITEM;642;10;0.80;175735.2
ITEM;640;15;0.64;175735.2
ITEM;623;19;1.16;175735.2
ITEM;602;13;1.03;175735.2
ITEM;621;8;1.05;175735.2
ITEM;662;2;1.16;175735.2
ITEM;663;5;1.03;175735.2
ITEM;600;4;1.17;175735.2
ITEM;660;9;0.64;175735.2
ITEM;641;15;0.81;8995.191
ITEM;601;17;1.04;11356.82
ITEM;622;7;1.19;11356.82
ITEM;643;14;0.67;11356.82
ITEM;603;11;0.60;34428.18
ITEM;321;13;0.90;34428.18
ITEM;403;7;1.12;34428.18
ITEM;405;38;0.64;28.5233
ITEM;310;32;0.52;28.5233
ITEM;311;15;0.55;28.5233
ITEM;408;30;1.24;28.5233
ITEM;406;11;0.90;28.5233
ITEM;320;27;1.12;28.5233
ITEM;305;19;1.01;28.5233
ITEM;313;1;1.14;28.5233
ITEM;325;9;0.58;28.5233
ITEM;302;15;0.89;28.5233
ITEM;404;29;1.09;28.5233
ITEM;312;14;1.18;28.5233
ITEM;323;36;0.52;28.5233
ITEM;322;35;1.14;28.5233
ITEM;300;24;1.10;28.5233
ITEM;304;34;0.66;28.5233
ITEM;324;14;1.13;28.5233
ITEM;303;3;1.08;28.5233
ITEM;407;29;1.21;28.5233
ITEM;301;13;0.78;28.5233
ITEM;20;329;1.05;28.5233
ITEM;4;277;1.19;28.5233
ITEM;23;137;1.18;28.5233
ITEM;3;121;0.80;28.5233
ITEM;21;73;0.81;28.5233
ITEM;22;372;0.54;28.5233
ITEM;2;37;1.16;28.5233
ITEM;1;42;0.53;9.984118
ITEM;109;481;1.24;6.810219
ITEM;101;176;1.03;6.810219
ITEM;113;106;1.15;6.810219
ITEM;105;169;1.00;6.810219
ITEM;107;282;0.75;6.810219
ITEM;100;198;1.22;6.810219
ITEM;118;530;0.75;6.810219
ITEM;103;357;0.91;6.810219
ITEM;114;15;0.57;6.810219
ITEM;106;332;0.97;6.810219
ITEM;102;101;0.50;6.810219
ITEM;104;237;0.85;6.810219
ITEM;152;385;0.89;12.09179
ITEM;170;373;0.86;12.09179
ITEM;210;250;0.94;12.09179
ITEM;167;175;1.29;119.6575
ITEM;400;279;0.93;119.6575
ITEM;203;29;0.81;119.6575
ITEM;164;340;1.12;119.6575
ITEM;169;308;0.81;85.80906
ITEM;153;173;1.23;85.80906
ITEM;168;255;1.20;85.80906
ITEM;211;303;1.02;93.06721
ITEM;151;288;0.78;93.06721
ITEM;157;332;1.20;93.06721
ITEM;213;188;1.11;116.9009
ITEM;207;335;0.69;116.9009
ITEM;216;314;0.67;116.9009
