// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Scrapdogs
STATION;type;Civil League
STATION;owner;Timwhilei Jaliszaesiv
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;scrapdogs.png
STATION;filename;sector_85_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-1-3-4-2-1-0-1-7-3-2-1-6-7-2-7-90
STATION;interior_seed;5-1-0-9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.09;npc_ship_data_(transport_carrier_1).txt
MERC;3;0.63;npc_ship_data_(excavation_escort_1).txt
MERC;6;1.35;npc_ship_data_(recon_shuttle_1).txt
MERC;5;1.97;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sell Order for: (1) Items ;1591x12;61316;121578.20

ITEM;1007;5;0.95;0
ITEM;1300;12;0.83;0
ITEM;1170;5;1.19;0
ITEM;1120;3;0.63;0
ITEM;1151;20;0.68;2811.375
ITEM;1111;18;1.22;2811.375
ITEM;1150;16;1.16;2811.375
ITEM;1161;14;0.71;2811.375
ITEM;1003;5;1.22;2811.375
ITEM;1110;11;0.69;2811.375
ITEM;1200;2;0.64;2811.375
ITEM;1530;5;1.03;2811.375
ITEM;1561;10;1.02;2939.534
ITEM;1616;1;1.00;2939.534
ITEM;1600;10;0.63;620.1724
ITEM;1640;13;1.02;620.1724
ITEM;1511;1;0.86;620.1724
ITEM;1531;0;0.59;620.1724
ITEM;1560;11;0.65;620.1724
ITEM;1590;2;0.66;620.1724
ITEM;1570;9;0.79;620.1724
ITEM;1650;18;1.09;620.1724
ITEM;1540;23;0.83;813.3503
ITEM;1631;8;1.08;813.3503
ITEM;42;92;0.84;813.3503
ITEM;62;79;0.71;813.3503
ITEM;2126;0;1.11;813.3503
ITEM;2116;85;0.83;813.3503
ITEM;43;2089;0.76;22.03138
ITEM;2124;43;0.86;22.03138
ITEM;2111;31;0.73;22.03138
ITEM;2119;35;0.62;22.03138
ITEM;63;0;1.17;22.03138
ITEM;60;1647;1.08;48.6875
ITEM;52;0;0.68;48.6875
ITEM;2651;5;0.99;48.6875
ITEM;78;1441;0.83;220.7437
ITEM;2115;2173;1.19;92.22713
ITEM;2122;43;0.67;92.22713
ITEM;77;95;0.76;92.22713
ITEM;41;30;0.65;92.22713
ITEM;40;23;0.56;92.22713
ITEM;2113;34;0.98;92.22713
ITEM;732;24;1.06;92.22713
ITEM;743;26;1.18;92.22713
ITEM;757;20;0.70;92.22713
ITEM;671;0;0.71;92.22713
ITEM;744;38;0.58;92.22713
ITEM;720;32;0.76;92.22713
ITEM;679;30;0.80;100593.8
ITEM;678;12;0.51;100593.8
ITEM;746;17;0.68;100593.8
ITEM;722;5;1.20;100593.8
ITEM;700;1;1.01;100593.8
ITEM;742;10;0.96;100593.8
ITEM;621;10;1.08;9737.5
ITEM;661;8;0.59;9737.5
ITEM;601;7;0.92;9737.5
ITEM;620;3;0.51;9737.5
ITEM;600;5;0.83;9737.5
ITEM;641;6;0.70;9737.5
ITEM;640;4;0.96;9737.5
ITEM;660;10;0.67;2818.75
ITEM;408;0;0.75;2818.75
ITEM;302;0;1.12;2818.75
ITEM;407;899;0.82;307.6263
ITEM;406;14;0.63;307.6263
ITEM;305;547;1.22;163.8326
ITEM;301;5;1.10;163.8326
ITEM;300;7;1.14;163.8326
ITEM;405;812;1.19;33.59625
ITEM;303;721;0.92;68.6805
ITEM;403;0;1.12;68.6805
ITEM;304;13;0.83;68.6805
ITEM;1;2;0.86;68.6805
ITEM;2;132;1.06;68.6805
ITEM;20;106;0.65;68.6805
ITEM;21;188;0.55;68.6805
ITEM;102;266;0.52;68.6805
ITEM;104;49;0.88;68.6805
ITEM;103;226;1.15;68.6805
ITEM;101;51;0.74;68.6805
ITEM;100;116;0.68;68.6805
ITEM;114;1;1.24;68.6805
ITEM;167;247;0.67;48.82075
ITEM;166;0;1.19;48.82075
ITEM;153;48;0.63;48.82075
ITEM;155;130;0.84;48.82075
ITEM;161;83;1.07;48.82075
ITEM;160;199;1.11;48.82075
ITEM;164;69;1.12;48.82075
ITEM;158;117;1.05;42.75187
ITEM;165;172;1.03;42.75187
ITEM;151;94;0.67;42.75187
ITEM;168;0;1.13;42.75187
ITEM;169;140;0.66;52.82775
ITEM;150;67;0.95;52.82775
ITEM;156;76;0.54;52.82775
ITEM;162;0;1.19;52.82775
ITEM;154;80;1.22;52.82775
ITEM;159;38;0.99;52.82775
ITEM;152;0;0.69;52.82775
ITEM;163;83;0.73;52.82775
ITEM;157;143;0.86;52.82775
ITEM;2111;13;1.17;52.82775
ITEM;2201;16;0.89;52.82775
ITEM;2315;10;1.00;52.82775
ITEM;2334;8;0.92;52.82775
ITEM;2532;8;0.68;52.82775
ITEM;2437;11;0.89;52.82775
ITEM;2131;0;1.00;52.82775
ITEM;2100;19;0.61;52.82775
ITEM;2264;9;0.63;52.82775
ITEM;2539;3;0.79;123075
ITEM;2294;19;0.59;123075
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;21;1.50
SKILL;220;1.90
SKILL;232;1.99
SKILL;5;0.85
SKILL;16;1.69
SKILL;59;1.57
SKILL;13;0.54
SKILL;34;0.70
SKILL;233;1.52
SKILL;57;0.79
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_shuttle_1).txt
SHIP;2;0.91;ship_data_(support_frigate_1).txt
SHIP;3;0.92;ship_data_(transport_utility_1).txt
SHIP;4;0.98;ship_data_(battle_shuttle_1).txt
SHIP;5;0.97;ship_data_(transport_shuttle_1).txt
SHIP;6;1.04;ship_data_(support_shuttle_1).txt
SHIP;7;1.05;ship_data_(recon_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
